source,target,weight
Alice,Bob,5.0
Alice,Charlie,3.0
Alice,David,7.0
Alice,Sam,4.0
Bob,Eve,2.0
Bob,Frank,4.0
Bob,Sam,3.0
Charlie,Frank,6.0
Charlie,Grace,1.5
Charlie,Sam,2.0
David,Grace,3.0
David,Tom,5.0
Eve,Henry,8.0
Eve,Ivan,2.5
Frank,Ivan,5.0
Frank,Jack,3.0
Grace,Jack,4.0
Henry,Karen,1.0
Ivan,Karen,6.0
Ivan,Leo,3.0
Jack,Leo,2.0
Jack,Mia,7.0
Karen,Mia,4.0
Leo,Nora,5.0
Mia,Nora,3.0
Nora,Oscar,2.0
Oscar,Paul,6.0
Oscar,Quinn,4.0
Paul,Quinn,8.0
Paul,Rachel,3.0
Quinn,Rachel,5.0
Rachel,Sam,2.0
Tom,Alice,6.0
Tom,Bob,5.0
Tom,Charlie,4.0
Tom,David,2.0
Tom,Eve,8.0
Xavier,Yolanda,9.0
Xavier,Zach,7.0
Yolanda,Zach,8.0
Xavier,Paul,3.0
Yolanda,Rachel,4.0
Zach,Oscar,5.0
Alice,Henry,2.0
Bob,Karen,3.0
Charlie,Leo,4.0
David,Mia,2.0
Eve,Nora,1.5
